Experiment,Seed,Pure_TabPFN,BaselineHead,LargeBaselineHead,KGHead_real,KGHead_permuted,KGHead_random,TabPFN_Time,Baseline_Time,LargeBaseline_Time,KGHead_Time,KGHead_permuted_Time,KGHead_random_Time,Repr_Extract_Time,KG_real_minus_Baseline,KG_real_minus_KG_permuted
Tr40_Ft200_Cp6,15,0.846,0.852,0.852,0.856,0.85,0.872,2.0920209884643555,0.17727208137512207,0.3345670700073242,0.9756202697753906,0.978827953338623,0.9268019199371338,4.198845863342285,0.0040000000000000036,0.006000000000000005
Tr40_Ft200_Cp6,16,0.842,0.864,0.872,0.844,0.834,0.804,2.033665895462036,0.18060994148254395,0.3602299690246582,0.8256292343139648,0.7767257690429688,0.7861566543579102,4.65276312828064,-0.020000000000000018,0.010000000000000009
Tr40_Ft200_Cp6,17,0.766,0.786,0.778,0.772,0.762,0.746,2.1384570598602295,0.21009373664855957,0.3568742275238037,0.7891871929168701,0.7672929763793945,0.8063783645629883,4.3562939167022705,-0.014000000000000012,0.010000000000000009
Tr40_Ft200_Cp6,18,0.808,0.852,0.842,0.824,0.812,0.804,2.028623104095459,0.20012712478637695,0.3673677444458008,0.9746608734130859,0.8782804012298584,0.8916962146759033,4.31819486618042,-0.028000000000000025,0.0119999999999999
Tr40_Ft200_Cp6,19,0.808,0.776,0.768,0.788,0.82,0.824,1.928786039352417,0.18190884590148926,0.3223700523376465,0.8017840385437012,0.8234519958496094,0.7701370716094971,4.490548133850098,0.01200000000000001,-0.03199999999999992
Tr40_Ft200_Cp20,0,0.672,0.632,0.634,0.676,0.654,0.672,2.1830530166625977,0.2311561107635498,0.3956160545349121,0.9523649215698242,0.9370098114013672,0.8261618614196777,4.693120002746582,0.04400000000000004,0.02200000000000002
Tr40_Ft200_Cp20,1,0.636,0.486,0.482,0.546,0.578,0.508,2.097358226776123,0.18347501754760742,0.3376781940460205,0.8270258903503418,0.8581030368804932,0.8361740112304688,4.34498405456543,0.06000000000000005,-0.03199999999999992
Tr40_Ft200_Cp20,2,0.636,0.644,0.654,0.638,0.634,0.632,2.3186469078063965,0.20744776725769043,0.40540480613708496,0.9085502624511719,0.8050148487091064,0.7858932018280029,4.7925169467926025,-0.006000000000000005,0.0040000000000000036
Tr40_Ft200_Cp20,3,0.566,0.412,0.406,0.43,0.438,0.424,2.144860029220581,0.1987769603729248,0.3520379066467285,0.8648569583892822,0.7898588180541992,0.7603251934051514,4.366851091384888,0.018000000000000016,-0.008000000000000007
Tr40_Ft200_Cp20,4,0.602,0.598,0.606,0.616,0.596,0.63,2.1658120155334473,0.16498398780822754,0.3905341625213623,0.9496569633483887,0.8605680465698242,0.7864570617675781,4.311234951019287,0.018000000000000016,0.020000000000000018
Tr40_Ft200_Cp20,5,0.698,0.626,0.654,0.62,0.638,0.616,2.067096710205078,0.1865689754486084,0.4011199474334717,0.9008488655090332,0.7938330173492432,0.839076042175293,4.540441036224365,-0.006000000000000005,-0.018000000000000016
Tr40_Ft200_Cp20,6,0.686,0.628,0.614,0.648,0.578,0.634,2.388310670852661,0.220717191696167,0.3997611999511719,0.961359977722168,0.8434550762176514,0.7380342483520508,4.2383131980896,0.020000000000000018,0.07000000000000006
